[[0, 0, -68.0], [0, 1, -83.5], [0, 2, -50.1], [0, 3, 61.2], [0, 4, -32.4], [0, 5, -172.8], [1, 0, -36.2], [1, 1, -51.6], [1, 2, -22.2], [1, 3, 24.8], [1, 4, 1.5], [1, 5, -83.7], [2, 0, -21.2], [2, 1, -13.1], [2, 2, 18.6], [2, 3, -10.2], [2, 4, 0.9], [2, 5, -25.0], [3, 0, -7.4], [3, 1, -0.3], [3, 2, -0.8], [3, 3, 2.8], [3, 4, 4.1], [3, 5, -1.5], [4, 0, -1.4], [4, 1, -0.5], [4, 2, -0.8], [4, 3, -0.5], [4, 4, 0.8], [4, 5, -2.5], [5, 0, -3.1], [5, 1, 0.2], [5, 2, -0.6], [5, 3, 0.9], [5, 4, 1.7], [5, 5, -0.8], [6, 0, -1.9], [6, 1, 1.0], [6, 2, 0.3], [6, 3, 0.3], [6, 4, 1.6], [6, 5, 1.4], [7, 0, -3.3], [7, 1, -1.3], [7, 2, -2.1], [7, 3, -1.9], [7, 4, -0.6], [7, 5, -9.2], [8, 0, -11.5], [8, 1, 0.4], [8, 2, -11.3], [8, 3, -3.7], [8, 4, -7.1], [8, 5, -33.4], [9, 0, -0.7], [9, 1, 0.8], [9, 2, -0.7], [9, 3, -1.1], [9, 4, 0.0], [9, 5, -1.7], [10, 0, -1.8], [10, 1, -2.6], [10, 2, -1.9], [10, 3, -0.9], [10, 4, -1.5], [10, 5, -8.8]]
[[0, 0, 27.1], [0, 1, 24.6], [0, 2, 17.6], [0, 3, -7.7], [0, 4, 29.6], [0, 5, 91.2], [1, 0, 5.3], [1, 1, 3.9], [1, 2, -14.4], [1, 3, -6.3], [1, 4, 6.5], [1, 5, -5.0], [2, 0, -33.7], [2, 1, -21.1], [2, 2, -15.4], [2, 3, -4.8], [2, 4, 10.0], [2, 5, -64.9], [3, 0, -9.5], [3, 1, -1.9], [3, 2, -1.5], [3, 3, -0.5], [3, 4, 4.7], [3, 5, -8.8], [4, 0, 10.5], [4, 1, 7.1], [4, 2, 6.3], [4, 3, 3.0], [4, 4, 0.8], [4, 5, 27.7], [5, 0, 0.4], [5, 1, 0.4], [5, 2, 0.7], [5, 3, -0.6], [5, 4, 1.3], [5, 5, 2.2], [6, 0, 2.7], [6, 1, 1.6], [6, 2, 1.4], [6, 3, 0.6], [6, 4, 1.0], [6, 5, 7.2], [7, 0, -12.6], [7, 1, -4.8], [7, 2, -4.5], [7, 3, -0.6], [7, 4, 0.3], [7, 5, -22.2], [8, 0, 0.0], [8, 1, 3.6], [8, 2, 4.7], [8, 3, 6.4], [8, 4, 2.9], [8, 5, 17.5], [9, 0, 0.1], [9, 1, 0.1], [9, 2, 0.0], [9, 3, 0.0], [9, 4, 0.0], [9, 5, 0.2], [10, 0, 3.0], [10, 1, 2.0], [10, 2, 2.0], [10, 3, 1.1], [10, 4, 1.1], [10, 5, 9.3]]
[[0, 0, 31.1], [0, 1, -38.1], [0, 2, -42.9], [0, 3, -21.0], [0, 4, -21.6], [0, 5, -92.4], [1, 0, -28.3], [1, 1, -49.9], [1, 2, -18.4], [1, 3, -13.4], [1, 4, -8.2], [1, 5, -118.2], [2, 0, -12.1], [2, 1, 2.8], [2, 2, -9.0], [2, 3, 16.1], [2, 4, 7.3], [2, 5, 5.0], [3, 0, -17.8], [3, 1, 8.8], [3, 2, -1.7], [3, 3, 11.2], [3, 4, -14.3], [3, 5, -13.7], [4, 0, -1.1], [4, 1, -2.3], [4, 2, -0.7], [4, 3, 0.2], [4, 4, 1.0], [4, 5, -3.0], [5, 0, 0.0], [5, 1, 0.4], [5, 2, 0.1], [5, 3, -1.0], [5, 4, -1.9], [5, 5, -2.4], [6, 0, -1.6], [6, 1, 2.3], [6, 2, 2.6], [6, 3, -0.2], [6, 4, -1.0], [6, 5, 2.1], [7, 0, -0.9], [7, 1, 8.0], [7, 2, 6.8], [7, 3, 1.6], [7, 4, -1.0], [7, 5, 14.5], [8, 0, 33.2], [8, 1, 21.9], [8, 2, -9.8], [8, 3, 10.9], [8, 4, -5.7], [8, 5, 50.5], [9, 0, 1.0], [9, 1, 1.7], [9, 2, 0.8], [9, 3, -0.4], [9, 4, -1.1], [9, 5, 2.0], [10, 0, -8.5], [10, 1, -5.4], [10, 2, 0.3], [10, 3, -1.5], [10, 4, -0.3], [10, 5, -15.4]]
[[0, 0, 24.6], [0, 1, 17.6], [0, 2, -7.7], [0, 3, 29.7], [0, 4, -1.1], [0, 5, 63.1], [1, 0, 3.9], [1, 1, -14.4], [1, 2, -6.3], [1, 3, 6.5], [1, 4, 7.4], [1, 5, -2.8], [2, 0, -21.1], [2, 1, -15.4], [2, 2, -4.8], [2, 3, 10.1], [2, 4, 1.6], [2, 5, -29.5], [3, 0, -1.9], [3, 1, -1.5], [3, 2, -0.5], [3, 3, 4.4], [3, 4, 0.4], [3, 5, 0.9], [4, 0, 7.1], [4, 1, 6.3], [4, 2, 3.0], [4, 3, 0.8], [4, 4, -0.1], [4, 5, 17.2], [5, 0, 0.4], [5, 1, 0.7], [5, 2, -0.6], [5, 3, 1.3], [5, 4, 0.6], [5, 5, 2.4], [6, 0, 1.6], [6, 1, 1.4], [6, 2, 0.6], [6, 3, 1.0], [6, 4, -0.3], [6, 5, 4.2], [7, 0, -4.8], [7, 1, -4.5], [7, 2, -0.6], [7, 3, 0.3], [7, 4, 0.2], [7, 5, -9.3], [8, 0, 3.6], [8, 1, 4.7], [8, 2, 6.4], [8, 3, 2.9], [8, 4, 1.0], [8, 5, 18.6], [9, 0, 0.1], [9, 1, 0.0], [9, 2, 0.0], [9, 3, 0.0], [9, 4, -0.0], [9, 5, 0.1], [10, 0, 2.0], [10, 1, 2.0], [10, 2, 1.1], [10, 3, 1.1], [10, 4, 0.2], [10, 5, 6.5]]
[[0, 0, 31.1], [0, 1, -38.1], [0, 2, -42.9], [0, 3, -21.0], [0, 4, -21.6], [0, 5, -92.4], [1, 0, -28.3], [1, 1, -49.9], [1, 2, -18.4], [1, 3, -13.4], [1, 4, -8.2], [1, 5, -118.2], [2, 0, -12.1], [2, 1, 2.8], [2, 2, -9.0], [2, 3, 16.1], [2, 4, 7.3], [2, 5, 5.0], [3, 0, -17.8], [3, 1, 8.8], [3, 2, -1.7], [3, 3, 11.2], [3, 4, -14.3], [3, 5, -13.7], [4, 0, -1.1], [4, 1, -2.3], [4, 2, -0.7], [4, 3, 0.2], [4, 4, 1.0], [4, 5, -3.0], [5, 0, 0.0], [5, 1, 0.4], [5, 2, 0.1], [5, 3, -1.0], [5, 4, -1.9], [5, 5, -2.4], [6, 0, -1.6], [6, 1, 2.3], [6, 2, 2.6], [6, 3, -0.2], [6, 4, -1.0], [6, 5, 2.1], [7, 0, -0.9], [7, 1, 8.0], [7, 2, 6.8], [7, 3, 1.6], [7, 4, -1.0], [7, 5, 14.5], [8, 0, 33.2], [8, 1, 21.9], [8, 2, -9.8], [8, 3, 10.9], [8, 4, -5.7], [8, 5, 50.5], [9, 0, 1.0], [9, 1, 1.7], [9, 2, 0.8], [9, 3, -0.4], [9, 4, -1.1], [9, 5, 2.0], [10, 0, -8.5], [10, 1, -5.4], [10, 2, 0.3], [10, 3, -1.5], [10, 4, -0.3], [10, 5, -15.4]]
[[0, 0, 24.6], [0, 1, 17.6], [0, 2, -7.7], [0, 3, 29.7], [0, 4, -1.1], [0, 5, 63.1], [1, 0, 3.9], [1, 1, -14.4], [1, 2, -6.3], [1, 3, 6.5], [1, 4, 7.4], [1, 5, -2.8], [2, 0, -21.1], [2, 1, -15.4], [2, 2, -4.8], [2, 3, 10.1], [2, 4, 1.6], [2, 5, -29.5], [3, 0, -1.9], [3, 1, -1.5], [3, 2, -0.5], [3, 3, 4.4], [3, 4, 0.4], [3, 5, 0.9], [4, 0, 7.1], [4, 1, 6.3], [4, 2, 3.0], [4, 3, 0.8], [4, 4, -0.1], [4, 5, 17.2], [5, 0, 0.4], [5, 1, 0.7], [5, 2, -0.6], [5, 3, 1.3], [5, 4, 0.6], [5, 5, 2.4], [6, 0, 1.6], [6, 1, 1.4], [6, 2, 0.6], [6, 3, 1.0], [6, 4, -0.3], [6, 5, 4.2], [7, 0, -4.8], [7, 1, -4.5], [7, 2, -0.6], [7, 3, 0.3], [7, 4, 0.2], [7, 5, -9.3], [8, 0, 3.6], [8, 1, 4.7], [8, 2, 6.4], [8, 3, 2.9], [8, 4, 1.0], [8, 5, 18.6], [9, 0, 0.1], [9, 1, 0.0], [9, 2, 0.0], [9, 3, 0.0], [9, 4, -0.0], [9, 5, 0.1], [10, 0, 2.0], [10, 1, 2.0], [10, 2, 1.1], [10, 3, 1.1], [10, 4, 0.2], [10, 5, 6.5]]
[[0, 0, -42.9], [0, 1, -21.0], [0, 2, -21.6], [0, 3, 150.3], [0, 4, 44.1], [0, 5, 109.0], [1, 0, -18.4], [1, 1, -13.4], [1, 2, -8.2], [1, 3, 9.9], [1, 4, -18.1], [1, 5, -48.2], [2, 0, -9.0], [2, 1, 16.1], [2, 2, 7.3], [2, 3, 4.1], [2, 4, 1.3], [2, 5, 19.8], [3, 0, -1.7], [3, 1, 11.2], [3, 2, -14.3], [3, 3, 16.2], [3, 4, -2.4], [3, 5, 9.1], [4, 0, -0.7], [4, 1, 0.2], [4, 2, 1.0], [4, 3, 0.8], [4, 4, 0.8], [4, 5, 2.0], [5, 0, 0.1], [5, 1, -1.0], [5, 2, -1.9], [5, 3, -0.1], [5, 4, 1.7], [5, 5, -1.1], [6, 0, 2.6], [6, 1, -0.2], [6, 2, -1.0], [6, 3, 1.1], [6, 4, -0.3], [6, 5, 2.1], [7, 0, 6.8], [7, 1, 1.6], [7, 2, -1.0], [7, 3, 1.4], [7, 4, -2.1], [7, 5, 6.6], [8, 0, -9.8], [8, 1, 10.9], [8, 2, -5.7], [8, 3, -0.8], [8, 4, 1.5], [8, 5, -3.8], [9, 0, 0.8], [9, 1, -0.4], [9, 2, -1.1], [9, 3, -0.6], [9, 4, -0.7], [9, 5, -2.0], [10, 0, 0.3], [10, 1, -1.5], [10, 2, -0.3], [10, 3, -0.6], [10, 4, -0.8], [10, 5, -2.9]]
[[0, 0, -7.7], [0, 1, 29.7], [0, 2, -1.1], [0, 3, 8.7], [0, 4, 13.1], [0, 5, 42.8], [1, 0, -6.3], [1, 1, 6.5], [1, 2, 7.5], [1, 3, 0.1], [1, 4, -0.5], [1, 5, 7.2], [2, 0, -4.8], [2, 1, 10.1], [2, 2, 1.6], [2, 3, 0.8], [2, 4, 1.1], [2, 5, 8.9], [3, 0, -0.5], [3, 1, 4.4], [3, 2, 0.4], [3, 3, -0.4], [3, 4, -0.1], [3, 5, 3.9], [4, 0, 3.0], [4, 1, 0.8], [4, 2, -0.1], [4, 3, -0.1], [4, 4, -0.1], [4, 5, 3.6], [5, 0, -0.6], [5, 1, 1.3], [5, 2, 0.6], [5, 3, -0.8], [5, 4, -0.5], [5, 5, 0.0], [6, 0, 0.6], [6, 1, 1.0], [6, 2, -0.3], [6, 3, -0.2], [6, 4, -0.2], [6, 5, 0.9], [7, 0, -0.6], [7, 1, 0.3], [7, 2, 0.2], [7, 3, 0.1], [7, 4, 0.1], [7, 5, 0.0], [8, 0, 6.4], [8, 1, 2.9], [8, 2, 1.0], [8, 3, 1.5], [8, 4, 1.6], [8, 5, 13.4], [9, 0, 0.0], [9, 1, 0.0], [9, 2, -0.0], [9, 3, -0.0], [9, 4, 0.2], [9, 5, 0.2], [10, 0, 1.1], [10, 1, 1.1], [10, 2, 0.2], [10, 3, 0.2], [10, 4, 0.3], [10, 5, 2.9]]
[[0, 0, -21.0], [0, 1, -21.6], [0, 2, 150.3], [0, 3, 44.1], [0, 4, 67.4], [0, 5, 219.3], [1, 0, -13.4], [1, 1, -8.2], [1, 2, 9.9], [1, 3, -18.1], [1, 4, -15.6], [1, 5, -45.4], [2, 0, 16.1], [2, 1, 7.3], [2, 2, 4.1], [2, 3, 1.3], [2, 4, -3.0], [2, 5, 25.7], [3, 0, 11.2], [3, 1, -14.3], [3, 2, 16.2], [3, 3, -2.4], [3, 4, 6.5], [3, 5, 17.2], [4, 0, 0.2], [4, 1, 1.0], [4, 2, 0.8], [4, 3, 0.8], [4, 4, 0.9], [4, 5, 3.7], [5, 0, -1.0], [5, 1, -1.9], [5, 2, -0.1], [5, 3, 1.7], [5, 4, 0.4], [5, 5, -0.9], [6, 0, -0.2], [6, 1, -1.0], [6, 2, 1.1], [6, 3, -0.3], [6, 4, 0.2], [6, 5, -0.2], [7, 0, 1.6], [7, 1, -1.0], [7, 2, 1.4], [7, 3, -2.1], [7, 4, 2.1], [7, 5, 2.0], [8, 0, 10.9], [8, 1, -5.7], [8, 2, -0.8], [8, 3, 1.5], [8, 4, 25.7], [8, 5, 31.7], [9, 0, -0.4], [9, 1, -1.1], [9, 2, -0.6], [9, 3, -0.7], [9, 4, -2.6], [9, 5, -5.4], [10, 0, -1.5], [10, 1, -0.3], [10, 2, -0.6], [10, 3, -0.8], [10, 4, 0.1], [10, 5, -3.2]]
[[0, 0, 29.7], [0, 1, -1.1], [0, 2, 8.7], [0, 3, 12.6], [0, 4, 29.8], [0, 5, 79.8], [1, 0, 6.5], [1, 1, 7.5], [1, 2, 0.1], [1, 3, -1.1], [1, 4, 1.2], [1, 5, 14.1], [2, 0, 10.1], [2, 1, 1.6], [2, 2, 0.8], [2, 3, 1.1], [2, 4, -0.6], [2, 5, 13.1], [3, 0, 4.4], [3, 1, 0.4], [3, 2, -0.4], [3, 3, -1.0], [3, 4, 0.6], [3, 5, 4.0], [4, 0, 0.8], [4, 1, -0.1], [4, 2, -0.1], [4, 3, -0.1], [4, 4, -0.1], [4, 5, 0.4], [5, 0, 1.3], [5, 1, 0.6], [5, 2, -0.8], [5, 3, -0.5], [5, 4, -2.1], [5, 5, -1.4], [6, 0, 1.0], [6, 1, -0.3], [6, 2, -0.2], [6, 3, -0.2], [6, 4, -0.1], [6, 5, 0.2], [7, 0, 0.3], [7, 1, 0.2], [7, 2, 0.1], [7, 3, 0.1], [7, 4, -0.1], [7, 5, 0.5], [8, 0, 2.9], [8, 1, 1.0], [8, 2, 1.5], [8, 3, 1.6], [8, 4, 3.7], [8, 5, 10.7], [9, 0, 0.0], [9, 1, -0.0], [9, 2, -0.0], [9, 3, 0.2], [9, 4, 0.1], [9, 5, 0.3], [10, 0, 1.1], [10, 1, 0.2], [10, 2, 0.2], [10, 3, 0.3], [10, 4, 0.8], [10, 5, 2.7]]
[[0, 0, -21.6], [0, 1, 150.3], [0, 2, 44.1], [0, 3, 67.4], [0, 4, 36.0], [0, 5, 276.2], [1, 0, -8.2], [1, 1, 9.9], [1, 2, -18.1], [1, 3, -15.6], [1, 4, 32.5], [1, 5, 0.5], [2, 0, 7.3], [2, 1, 4.1], [2, 2, 1.3], [2, 3, -3.0], [2, 4, 24.1], [2, 5, 33.7], [3, 0, -14.3], [3, 1, 16.2], [3, 2, -2.4], [3, 3, 6.5], [3, 4, -1.9], [3, 5, 4.1], [4, 0, 1.0], [4, 1, 0.8], [4, 2, 0.8], [4, 3, 0.9], [4, 4, -0.3], [4, 5, 3.2], [5, 0, -1.9], [5, 1, -0.1], [5, 2, 1.7], [5, 3, 0.4], [5, 4, 0.1], [5, 5, 0.2], [6, 0, -1.0], [6, 1, 1.1], [6, 2, -0.3], [6, 3, 0.2], [6, 4, -3.4], [6, 5, -3.4], [7, 0, -1.0], [7, 1, 1.4], [7, 2, -2.1], [7, 3, 2.1], [7, 4, -5.6], [7, 5, -5.2], [8, 0, -5.7], [8, 1, -0.8], [8, 2, 1.5], [8, 3, 25.7], [8, 4, -9.7], [8, 5, 11.0], [9, 0, -1.1], [9, 1, -0.6], [9, 2, -0.7], [9, 3, -2.6], [9, 4, 0.1], [9, 5, -4.9], [10, 0, -0.3], [10, 1, -0.6], [10, 2, -0.8], [10, 3, 0.1], [10, 4, -1.4], [10, 5, -3.1]]
[[0, 0, -1.1], [0, 1, 8.7], [0, 2, 12.6], [0, 3, 29.6], [0, 4, 37.3], [0, 5, 87.1], [1, 0, 7.5], [1, 1, 0.1], [1, 2, -1.1], [1, 3, 1.6], [1, 4, 4.4], [1, 5, 12.3], [2, 0, 1.6], [2, 1, 0.8], [2, 2, 1.1], [2, 3, -0.5], [2, 4, 9.7], [2, 5, 12.8], [3, 0, 0.4], [3, 1, -0.4], [3, 2, -1.0], [3, 3, 0.6], [3, 4, 0.1], [3, 5, -0.3], [4, 0, -0.1], [4, 1, -0.1], [4, 2, -0.1], [4, 3, -0.1], [4, 4, -0.2], [4, 5, -0.5], [5, 0, 0.6], [5, 1, -0.8], [5, 2, -0.5], [5, 3, -2.4], [5, 4, -1.1], [5, 5, -4.2], [6, 0, -0.3], [6, 1, -0.2], [6, 2, -0.2], [6, 3, -0.1], [6, 4, -0.1], [6, 5, -0.9], [7, 0, 0.2], [7, 1, 0.1], [7, 2, 0.1], [7, 3, -0.1], [7, 4, 0.3], [7, 5, 0.5], [8, 0, 1.0], [8, 1, 1.5], [8, 2, 1.6], [8, 3, 3.9], [8, 4, 5.1], [8, 5, 13.0], [9, 0, -0.0], [9, 1, -0.0], [9, 2, 0.2], [9, 3, 0.1], [9, 4, 0.0], [9, 5, 0.3], [10, 0, 0.2], [10, 1, 0.2], [10, 2, 0.3], [10, 3, 0.8], [10, 4, 0.7], [10, 5, 2.2]]
[[0, 0, 150.3], [0, 1, 44.1], [0, 2, 67.4], [0, 3, 36.0], [0, 4, 144.6], [0, 5, 442.4], [1, 0, 9.9], [1, 1, -18.1], [1, 2, -15.6], [1, 3, 32.5], [1, 4, 47.6], [1, 5, 56.3], [2, 0, 4.1], [2, 1, 1.3], [2, 2, -3.0], [2, 3, 24.1], [2, 4, 12.6], [2, 5, 39.1], [3, 0, 16.2], [3, 1, -2.4], [3, 2, 6.5], [3, 3, -1.9], [3, 4, 59.6], [3, 5, 78.0], [4, 0, 0.8], [4, 1, 0.8], [4, 2, 0.9], [4, 3, -0.3], [4, 4, 2.0], [4, 5, 4.2], [5, 0, -0.1], [5, 1, 1.7], [5, 2, 0.4], [5, 3, 0.1], [5, 4, 4.1], [5, 5, 6.1], [6, 0, 1.1], [6, 1, -0.3], [6, 2, 0.2], [6, 3, -3.4], [6, 4, 9.4], [6, 5, 7.0], [7, 0, 1.4], [7, 1, -2.1], [7, 2, 2.1], [7, 3, -5.6], [7, 4, 6.5], [7, 5, 2.2], [8, 0, -0.8], [8, 1, 1.5], [8, 2, 25.7], [8, 3, -9.7], [8, 4, 1.9], [8, 5, 18.5], [9, 0, -0.6], [9, 1, -0.7], [9, 2, -2.6], [9, 3, 0.1], [9, 4, 6.0], [9, 5, 2.2], [10, 0, -0.6], [10, 1, -0.8], [10, 2, 0.1], [10, 3, -1.4], [10, 4, 2.5], [10, 5, -0.3]]
[[0, 0, 8.7], [0, 1, 12.6], [0, 2, 29.6], [0, 3, 36.7], [0, 4, 30.8], [0, 5, 118.4], [1, 0, 0.1], [1, 1, -1.1], [1, 2, 1.6], [1, 3, 4.4], [1, 4, 12.1], [1, 5, 16.9], [2, 0, 0.8], [2, 1, 1.1], [2, 2, -0.5], [2, 3, 9.7], [2, 4, 7.9], [2, 5, 19.1], [3, 0, -0.4], [3, 1, -1.0], [3, 2, 0.6], [3, 3, 0.1], [3, 4, 2.4], [3, 5, 1.6], [4, 0, -0.1], [4, 1, -0.1], [4, 2, -0.1], [4, 3, -0.2], [4, 4, 0.5], [4, 5, 0.0], [5, 0, -0.8], [5, 1, -0.5], [5, 2, -2.4], [5, 3, -1.1], [5, 4, 1.0], [5, 5, -3.7], [6, 0, -0.2], [6, 1, -0.2], [6, 2, -0.1], [6, 3, -0.1], [6, 4, -0.5], [6, 5, -1.1], [7, 0, 0.1], [7, 1, 0.1], [7, 2, -0.1], [7, 3, 0.3], [7, 4, 1.5], [7, 5, 1.8], [8, 0, 1.5], [8, 1, 1.6], [8, 2, 3.9], [8, 3, 5.2], [8, 4, -0.1], [8, 5, 12.1], [9, 0, -0.0], [9, 1, 0.2], [9, 2, 0.1], [9, 3, 0.0], [9, 4, -0.3], [9, 5, 0.0], [10, 0, 0.2], [10, 1, 0.3], [10, 2, 0.8], [10, 3, 0.7], [10, 4, -0.4], [10, 5, 1.6]]
[[0, 0, 150.3], [0, 1, 44.1], [0, 2, 67.4], [0, 3, 36.0], [0, 4, 144.6], [0, 5, 442.4], [1, 0, 9.9], [1, 1, -18.1], [1, 2, -15.6], [1, 3, 32.5], [1, 4, 47.6], [1, 5, 56.3], [2, 0, 4.1], [2, 1, 1.3], [2, 2, -3.0], [2, 3, 24.1], [2, 4, 12.6], [2, 5, 39.1], [3, 0, 16.2], [3, 1, -2.4], [3, 2, 6.5], [3, 3, -1.9], [3, 4, 59.6], [3, 5, 78.0], [4, 0, 0.8], [4, 1, 0.8], [4, 2, 0.9], [4, 3, -0.3], [4, 4, 2.0], [4, 5, 4.2], [5, 0, -0.1], [5, 1, 1.7], [5, 2, 0.4], [5, 3, 0.1], [5, 4, 4.1], [5, 5, 6.1], [6, 0, 1.1], [6, 1, -0.3], [6, 2, 0.2], [6, 3, -3.4], [6, 4, 9.4], [6, 5, 7.0], [7, 0, 1.4], [7, 1, -2.1], [7, 2, 2.1], [7, 3, -5.6], [7, 4, 6.5], [7, 5, 2.2], [8, 0, -0.8], [8, 1, 1.5], [8, 2, 25.7], [8, 3, -9.7], [8, 4, 1.9], [8, 5, 18.5], [9, 0, -0.6], [9, 1, -0.7], [9, 2, -2.6], [9, 3, 0.1], [9, 4, 6.0], [9, 5, 2.2], [10, 0, -0.6], [10, 1, -0.8], [10, 2, 0.1], [10, 3, -1.4], [10, 4, 2.5], [10, 5, -0.3]]
[[0, 0, 8.7], [0, 1, 12.6], [0, 2, 29.6], [0, 3, 36.7], [0, 4, 30.8], [0, 5, 118.4], [1, 0, 0.1], [1, 1, -1.1], [1, 2, 1.6], [1, 3, 4.4], [1, 4, 12.1], [1, 5, 16.9], [2, 0, 0.8], [2, 1, 1.1], [2, 2, -0.5], [2, 3, 9.7], [2, 4, 7.9], [2, 5, 19.1], [3, 0, -0.4], [3, 1, -1.0], [3, 2, 0.6], [3, 3, 0.1], [3, 4, 2.4], [3, 5, 1.6], [4, 0, -0.1], [4, 1, -0.1], [4, 2, -0.1], [4, 3, -0.2], [4, 4, 0.5], [4, 5, 0.0], [5, 0, -0.8], [5, 1, -0.5], [5, 2, -2.4], [5, 3, -1.1], [5, 4, 1.0], [5, 5, -3.7], [6, 0, -0.2], [6, 1, -0.2], [6, 2, -0.1], [6, 3, -0.1], [6, 4, -0.5], [6, 5, -1.1], [7, 0, 0.1], [7, 1, 0.1], [7, 2, -0.1], [7, 3, 0.3], [7, 4, 1.5], [7, 5, 1.8], [8, 0, 1.5], [8, 1, 1.6], [8, 2, 3.9], [8, 3, 5.2], [8, 4, -0.1], [8, 5, 12.1], [9, 0, -0.0], [9, 1, 0.2], [9, 2, 0.1], [9, 3, 0.0], [9, 4, -0.3], [9, 5, 0.0], [10, 0, 0.2], [10, 1, 0.3], [10, 2, 0.8], [10, 3, 0.7], [10, 4, -0.4], [10, 5, 1.6]]
[[0, 0, 150.3], [0, 1, 44.1], [0, 2, 67.4], [0, 3, 36.0], [0, 4, 144.6], [0, 5, 442.4], [1, 0, 9.9], [1, 1, -18.1], [1, 2, -15.6], [1, 3, 32.5], [1, 4, 47.6], [1, 5, 56.3], [2, 0, 4.1], [2, 1, 1.3], [2, 2, -3.0], [2, 3, 24.1], [2, 4, 12.6], [2, 5, 39.1], [3, 0, 16.2], [3, 1, -2.4], [3, 2, 6.5], [3, 3, -1.9], [3, 4, 59.6], [3, 5, 78.0], [4, 0, 0.8], [4, 1, 0.8], [4, 2, 0.9], [4, 3, -0.3], [4, 4, 2.0], [4, 5, 4.2], [5, 0, -0.1], [5, 1, 1.7], [5, 2, 0.4], [5, 3, 0.1], [5, 4, 4.1], [5, 5, 6.1], [6, 0, 1.1], [6, 1, -0.3], [6, 2, 0.2], [6, 3, -3.4], [6, 4, 9.4], [6, 5, 7.0], [7, 0, 1.4], [7, 1, -2.1], [7, 2, 2.1], [7, 3, -5.6], [7, 4, 6.5], [7, 5, 2.2], [8, 0, -0.8], [8, 1, 1.5], [8, 2, 25.7], [8, 3, -9.7], [8, 4, 1.9], [8, 5, 18.5], [9, 0, -0.6], [9, 1, -0.7], [9, 2, -2.6], [9, 3, 0.1], [9, 4, 6.0], [9, 5, 2.2], [10, 0, -0.6], [10, 1, -0.8], [10, 2, 0.1], [10, 3, -1.4], [10, 4, 2.5], [10, 5, -0.3]]
[[0, 0, 8.7], [0, 1, 12.6], [0, 2, 29.6], [0, 3, 36.7], [0, 4, 30.8], [0, 5, 118.4], [1, 0, 0.1], [1, 1, -1.1], [1, 2, 1.6], [1, 3, 4.4], [1, 4, 12.1], [1, 5, 16.9], [2, 0, 0.8], [2, 1, 1.1], [2, 2, -0.5], [2, 3, 9.7], [2, 4, 7.9], [2, 5, 19.1], [3, 0, -0.4], [3, 1, -1.0], [3, 2, 0.6], [3, 3, 0.1], [3, 4, 2.4], [3, 5, 1.6], [4, 0, -0.1], [4, 1, -0.1], [4, 2, -0.1], [4, 3, -0.2], [4, 4, 0.5], [4, 5, 0.0], [5, 0, -0.8], [5, 1, -0.5], [5, 2, -2.4], [5, 3, -1.1], [5, 4, 1.0], [5, 5, -3.7], [6, 0, -0.2], [6, 1, -0.2], [6, 2, -0.1], [6, 3, -0.1], [6, 4, -0.5], [6, 5, -1.1], [7, 0, 0.1], [7, 1, 0.1], [7, 2, -0.1], [7, 3, 0.3], [7, 4, 1.5], [7, 5, 1.8], [8, 0, 1.5], [8, 1, 1.6], [8, 2, 3.9], [8, 3, 5.2], [8, 4, -0.1], [8, 5, 12.1], [9, 0, -0.0], [9, 1, 0.2], [9, 2, 0.1], [9, 3, 0.0], [9, 4, -0.3], [9, 5, 0.0], [10, 0, 0.2], [10, 1, 0.3], [10, 2, 0.8], [10, 3, 0.7], [10, 4, -0.4], [10, 5, 1.6]]
[[0, 0, 36.0], [0, 1, 144.6], [0, 2, 139.0], [0, 3, 19.0], [0, 4, 45.9], [0, 5, 384.5], [1, 0, 32.5], [1, 1, 47.6], [1, 2, 9.7], [1, 3, -11.7], [1, 4, -30.6], [1, 5, 47.5], [2, 0, 24.1], [2, 1, 12.6], [2, 2, -20.9], [2, 3, 24.3], [2, 4, 0.7], [2, 5, 40.9], [3, 0, -1.9], [3, 1, 59.6], [3, 2, 3.1], [3, 3, -7.5], [3, 4, -18.4], [3, 5, 34.9], [4, 0, -0.3], [4, 1, 2.0], [4, 2, 0.7], [4, 3, 1.5], [4, 4, -1.3], [4, 5, 2.5], [5, 0, 0.1], [5, 1, 4.1], [5, 2, -1.2], [5, 3, -1.0], [5, 4, -2.7], [5, 5, -0.8], [6, 0, -3.4], [6, 1, 9.4], [6, 2, 6.3], [6, 3, 1.0], [6, 4, -2.6], [6, 5, 10.7], [7, 0, -5.6], [7, 1, 6.5], [7, 2, 9.4], [7, 3, -5.6], [7, 4, 3.2], [7, 5, 7.9], [8, 0, -9.7], [8, 1, 1.9], [8, 2, 31.7], [8, 3, 18.4], [8, 4, 27.5], [8, 5, 69.7], [9, 0, 0.1], [9, 1, 6.0], [9, 2, 4.7], [9, 3, 0.7], [9, 4, -2.1], [9, 5, 9.3], [10, 0, -1.4], [10, 1, 2.5], [10, 2, -2.6], [10, 3, 0.2], [10, 4, -1.7], [10, 5, -3.0]]
